"LEA_STATE","NMCNTY","total_ct_enr","total_ct_gt_enr","group_enr_ct","group_gt_enr_ct","group_missing_count_lower","group_missing_count_upper","group_missing_perc_lower","group_missing_perc_upper","group","year","region","state_perc_gt","state_nonT1_perc_gt"
"CA","Ventura County",149895,8687,3314,62,140,217,0.693069306930693,0.777777777777778,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Yolo County",31347,2573,944,27,31,53,0.53448275862069,0.6625,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Yuba County",14385,290,505,12,19,30,0.612903225806452,0.714285714285714,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA",NA,19253,7,1237,0,76,104,1,1,"Black",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Alameda County",228440,15199,77643,1656,3072,4891,0.649746192893401,0.747059722010081,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Alpine County",79,0,4,0,0,0,NA,NA,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Amador County",4190,166,905,30,25,47,0.454545454545455,0.61038961038961,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Butte County",31381,622,7445,76,377,551,0.832229580573951,0.878787878787879,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Calaveras County",5064,0,1008,0,61,85,1,1,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Colusa County",4847,33,3732,11,220,305,0.952380952380952,0.965189873417722,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Contra Costa County",178930,6777,64184,1139,2769,4274,0.708546571136131,0.789580639201921,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Del Norte County",4235,436,918,73,2,4,0.0266666666666667,0.051948051948052,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","El Dorado County",29332,470,6211,37,341,487,0.902116402116402,0.929389312977099,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Fresno County",207363,4884,135252,1799,6438,9606,0.781595240985796,0.842262165716791,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Glenn County",5308,26,3105,12,177,250,0.936507936507936,0.954198473282443,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Humboldt County",18248,591,3285,68,132,209,0.66,0.754512635379061,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Imperial County",38580,1746,35693,1475,799,1535,0.351363236587511,0.509966777408638,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Inyo County",2696,0,946,0,58,80,1,1,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Kern County",188462,10660,123558,6076,1965,4343,0.244372590473822,0.416834629043094,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Kings County",28930,86,20287,33,1202,1678,0.973279352226721,0.980713033313852,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Lake County",9432,40,3429,8,202,281,0.961904761904762,0.972318339100346,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Lassen County",3784,21,669,0,41,56,1,1,"Latinx",2017,"Pacific",0.0608958070960491,0.084325689438006
